"X","ID","ag","pov_final","genre","mc_calc"
118,"2010_Selecky,Sarah_CakeisForPartyStories_PW.txt.csv","M","1p","PW","Y"
119,"2010_Shriver,Lionel_SoMuchforThat_PW.txt.csv","F","3p","PW","Y"
120,"2010_Skibsrud,Johanna_Sentimentalists_PW.txt.csv","F","1p","PW","Y"
121,"2010_Warren,Dianne_CoolWater_PW.txt.csv","F","3p","PW","Y"
122,"2010_Watson,Brad_AliensinthePrimeofTheirLives_PW.txt.csv","M","1p","PW","Y"
123,"2010_Whitehead,Colson_SagHarbor_PW.txt.csv","M","1p","PW","N"
124,"2010_Winter,Kathleen_Annabel_PW.txt.csv","F","3p","PW","Y"
125,"2011_Barnes,Julian_SenseofAn_PW.txt.csv","M","1p","PW","Y"
126,"2011_Bezmozgis,David_TheFreeWorld_PW.txt.csv","M","3p","PW","Y"
127,"2011_Birch,Carol_JamrachsMenagerie_PW.txt.csv","F","1p","PW","Y"
128,"2011_Coady,Lynn_Antagonist_PW.txt.csv","F","1p","PW","Y"
129,"2011_DeWitt,Patrick_SistersBrothers_PW.txt.csv","M","1p","PW","Y"
130,"2011_Edugyan,Esi_Halfbloodblues_PW.txt.csv","F","1p","PW","Y"
131,"2011_Egan,Jennifer_AVisitFrom_BS.txt.csv","F","3p","BS","Y"
132,"2011_Eisenberg,Deborah_TheCollectedStoriesofDeborahEisenberg_PW.txt.csv","F","3p","PW","Y"
133,"2011_Endicott,Marina_LittleShadows_PW.txt.csv","M","3p","PW","Y"
134,"2011_Kelman,Stephen_PigeonEnglish_PW.txt.csv","M","1p","PW","Y"
135,"2011_Krivak,Andrew_TheSojourn_PW.txt.csv","M","1p","PW","Y"
136,"2011_Miller,AD_Snowdrops_PW.txt.csv","M","1p","PW","Y"
137,"2011_Obreht,Tea_TheTigersWife_PW.txt.csv","F","1p","PW","N"
139,"2011_Puchner,Eric_ModelHome_PW.txt.csv","M","3p","PW","Y"
140,"2011_Ward,Jesmyn_SalvagetheBones_PW.txt.csv","F","1p","PW","Y"
141,"2011_Zentner,Alexi_Touch_PW.txt.csv","M","3p","PW","Y"
142,"2012_Banks,Russell_LostMemory_PW.txt.csv","M","3p","PW","Y"
143,"2012_DeLillo,Don_TheAngelEsmeralda_PW.txt.csv","M","1p","PW","Y"
144,"2012_Desai,Anita_TheArtistofDisappearance_PW.txt.csv","F","3p","PW","Y"
145,"2012_Diaz,Junot_ThisisHow_PW.txt.csv","M","1p","PW","Y"
146,"2012_Dobozy,Tamas_Siege13_PW.txt.csv","M","3p","PW","Y"
147,"2012_Eggers,Dave_AHologramfortheKing_PW.txt.csv","M","3p","PW","Y"
148,"2012_Erdrich,Louise_RoundHouse_PW.txt.csv","F","1p","PW","Y"
149,"2012_Ferguson,Will_419_PW.txt.csv","M","3p","PW","Y"
150,"2012_Fountain,Ben_BillyLynnsLongHalftimeWalk_PW.txt.csv","M","3p","PW","Y"
151,"2012_Hough,Robert_DrBrinkley_PW.txt.csv","M","3p","PW","Y"
152,"2012_Hunt,Laird_KindOne_PW.txt.csv","M","1p","PW","N"
153,"2012_Johnson,TGeronimo_HoldItTillItHurts_PW.txt.csv","M","3p","PW","Y"
154,"2012_Lam,Vincent_TheHeadmastersWager_PW.txt.csv","M","3p","PW","Y"
155,"2012_Mantel,Hilary_BringUptheBod_PW.txt.csv","F","3p","PW","Y"
156,"2012_Millhauser,Steven_WeOthersNew&SelectedStories_PW.txt.csv","M","1p","PW","N"
157,"2012_Moore,Alison_TheLighthouse_PW.txt.csv","F","3p","PW","Y"
158,"2012_Ohlin,Alix_Inside_PW.txt.csv","F","3p","PW","Y"
